source_id,title,kind,creator_or_channel,url,published_date,language,notes
yt_53Eay2KFY-g,Will America destroy itself? | Joscha Bach and Lex Fridman,youtube,Lex Clips,https://www.youtube.com/watch?v=53Eay2KFY-g,2021-08-24,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt__t4SOqWC6jw,We're living in a simulation | Joscha Bach and Lex Fridman,youtube,Lex Clips,https://www.youtube.com/watch?v=_t4SOqWC6jw,2021-08-23,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_Pif-1bTmQZc,Psychedelics overclock the brain | Joscha Bach and Lex Fridman,youtube,Lex Clips,https://www.youtube.com/watch?v=Pif-1bTmQZc,2021-08-23,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_Bixr23Gq7Dk,Humans vs AI: Who is more dangerous? | Joscha Bach and Lex Fridman,youtube,Lex Clips,https://www.youtube.com/watch?v=Bixr23Gq7Dk,2021-08-23,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_8pPsZx2HkjE,Could Hitler have been stopped? | Joscha Bach and Lex Fridman,youtube,Lex Clips,https://www.youtube.com/watch?v=8pPsZx2HkjE,2021-08-23,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_84scxG_dEUU,OpenAI Codex may revolutionize programming | Joscha Bach and Lex Fridman,youtube,Lex Clips,https://www.youtube.com/watch?v=84scxG_dEUU,2021-08-23,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_7hqfZ5sPcGw,Overcoming depression: The self is a fiction | Joscha Bach and Lex Fridman,youtube,Lex Clips,https://www.youtube.com/watch?v=7hqfZ5sPcGw,2021-08-23,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_3bW9S6kXxHE,Joscha Bach disagrees with Roger Penrose about consciousness | Lex Fridman Podcast Clips,youtube,Lex Clips,https://www.youtube.com/watch?v=3bW9S6kXxHE,2021-08-23,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_-UgZtAOGcn0,Are Boston Dynamics robots intelligent? | Joscha Bach and Lex Fridman,youtube,Lex Clips,https://www.youtube.com/watch?v=-UgZtAOGcn0,2021-08-23,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_rtwwx6h5mRY,The Living and the Dead: What's the difference? | Joscha Bach and Lex Fridman,youtube,Lex Clips,https://www.youtube.com/watch?v=rtwwx6h5mRY,2021-08-22,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_TB7Xmch9isU,Consciousness is a monkey riding an elephant | Joscha Bach and Lex Fridman,youtube,Lex Clips,https://www.youtube.com/watch?v=TB7Xmch9isU,2021-08-22,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_SR5_T7VOSnU,Why do people dislike Mark Zuckerberg? | Joscha Bach and Lex Fridman,youtube,Lex Clips,https://www.youtube.com/watch?v=SR5_T7VOSnU,2021-08-22,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_JScMumYm6w8,"Free will is not an illusion, it is a dream | Joscha Bach and Lex Fridman",youtube,Lex Clips,https://www.youtube.com/watch?v=JScMumYm6w8,2021-08-22,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
